iter	MultiClass
0	1.32540633
1	1.278006885
2	1.239484511
3	1.207750984
4	1.180212655
5	1.156109405
6	1.136581483
7	1.118882204
8	1.10377169
9	1.090986627
10	1.080813532
11	1.071386025
12	1.063468427
13	1.055206183
14	1.048819923
15	1.042081694
16	1.036265591
17	1.031418268
18	1.026674245
19	1.022319481
20	1.018866564
21	1.015735483
22	1.012826578
23	1.009446271
24	1.007160748
25	1.004959906
26	1.002536889
27	1.000529413
28	0.9986644126
29	0.9971246891
30	0.9959386876
31	0.9945586405
32	0.9929589098
33	0.9916516328
34	0.9907715331
35	0.9894151158
36	0.988337459
37	0.9875075914
38	0.9867477609
39	0.9857637698
40	0.9851932036
41	0.9840564284
42	0.9826855805
43	0.9818891868
44	0.9814717121
45	0.9813748317
46	0.9810480203
47	0.9807728196
48	0.9797596797
49	0.9789193424
50	0.9786072715
51	0.9781843944
52	0.9775591697
53	0.9769600108
54	0.9764766364
55	0.975802131
56	0.9753628633
57	0.9747977852
58	0.9743365918
59	0.9740978563
60	0.9736266667
61	0.9732111806
62	0.973011144
63	0.9723665407
64	0.9719459212
65	0.9717207148
66	0.9713592593
67	0.9710331346
68	0.9708526401
69	0.9706241884
70	0.9701959026
71	0.9698978429
72	0.9694833566
73	0.9692475994
74	0.9689330518
75	0.9687054658
76	0.9684301614
77	0.9681228389
78	0.9677572226
79	0.9675920986
80	0.967468398
81	0.9672730249
82	0.9670002042
83	0.9667401293
84	0.9664376179
85	0.966136802
86	0.965882935
87	0.9655860448
88	0.9647534819
89	0.9645467182
90	0.9643360411
91	0.9641826342
92	0.9640488465
93	0.9638149671
94	0.9635798236
95	0.963491571
96	0.9633580114
97	0.9631998551
98	0.9629844882
99	0.9628790465
100	0.9626560703
101	0.9624396629
102	0.9621569635
103	0.9618751179
104	0.9616378381
105	0.9615258695
106	0.9612619607
107	0.9610660117
108	0.9608536792
109	0.9606083728
110	0.9603217851
111	0.9601797756
112	0.9599792978
113	0.9598383024
114	0.9597488229
115	0.9595524233
116	0.9594021043
117	0.9591068851
118	0.9589918416
119	0.9588708093
120	0.9586995749
121	0.9585322304
122	0.9582621559
123	0.9581692538
124	0.9579281323
125	0.9577693246
126	0.9575840037
127	0.9574062053
128	0.9572423394
129	0.957124717
130	0.9569943432
131	0.9568810549
132	0.9566987758
133	0.9565864034
134	0.9563507146
135	0.9562775902
136	0.9560615502
137	0.9559154585
138	0.9558087693
139	0.9556479363
140	0.9554342156
141	0.9552328315
142	0.9551141843
143	0.954848049
144	0.9546871707
145	0.9544952724
146	0.9542989515
147	0.9541120224
148	0.953965343
149	0.9538889306
150	0.9537688425
151	0.9536344366
152	0.9534166924
153	0.953321561
154	0.953103798
155	0.952838124
156	0.9526550848
157	0.952552791
158	0.9523401309
159	0.95214158
160	0.9519407038
161	0.9517218064
162	0.951531439
163	0.9511990986
164	0.9510725533
165	0.9509535822
166	0.9506889477
167	0.9506169851
168	0.9504387636
169	0.950199659
170	0.9499613016
171	0.9497986305
172	0.9494158223
173	0.9492460213
174	0.9490826068
175	0.9489041567
176	0.9487580585
177	0.9486510536
178	0.9485679041
179	0.9483506916
180	0.9481989348
181	0.9480116635
182	0.9478157842
183	0.9477439204
184	0.9475890688
185	0.9474375818
186	0.9472908165
187	0.9471468197
188	0.9469637043
189	0.946799298
190	0.9466822371
191	0.946499021
192	0.9463341011
193	0.9461528524
194	0.9460304206
195	0.9459186788
196	0.9458517064
197	0.9457854045
198	0.9456249577
199	0.9454599946
200	0.9451869107
201	0.9449552596
202	0.9448703696
203	0.9447384641
204	0.9445287466
205	0.9442703806
206	0.9440060509
207	0.9437533451
208	0.9434599314
209	0.9433786402
210	0.9432621415
211	0.9431430816
212	0.9429394493
213	0.942836511
214	0.9426948522
215	0.9425347156
216	0.9424508611
217	0.9423101371
218	0.9421921641
219	0.9419921177
220	0.9419137575
221	0.9417549876
222	0.9416184116
223	0.9414961925
224	0.9413546544
225	0.9412250105
226	0.9410452339
227	0.940815615
228	0.9407401074
229	0.9406058149
230	0.94051572
231	0.9403030894
232	0.9401294171
233	0.9399684848
234	0.9398176034
235	0.9396272315
236	0.9395397971
237	0.9394095303
238	0.9392597449
239	0.9390995893
240	0.9389291461
241	0.9387761999
242	0.9386963606
243	0.9385327891
244	0.9383921644
245	0.9382654582
246	0.9381110281
247	0.9379583999
248	0.9377849368
249	0.9376734291
250	0.9375306922
251	0.9374107751
252	0.9373051415
253	0.9371920093
254	0.9371006921
255	0.9369735437
256	0.9368442087
257	0.9366724231
258	0.936508941
259	0.936431952
260	0.9363556688
261	0.9362622975
262	0.9360208116
263	0.9359273065
264	0.9358246405
265	0.9357019241
266	0.9355107242
267	0.9353839755
268	0.9353051747
269	0.9351942468
270	0.9350868707
271	0.9349732866
272	0.9348422195
273	0.9347127863
274	0.9346471689
275	0.9344979338
276	0.9343827982
277	0.9342981009
278	0.9341966263
279	0.9340319667
280	0.9338300603
281	0.9337782657
282	0.9335510078
283	0.9335130027
284	0.9332910155
285	0.9332387942
286	0.9331334078
287	0.9328837691
288	0.9326273331
289	0.9324964625
290	0.9323217199
291	0.9321901861
292	0.9319710492
293	0.9318026395
294	0.9317291216
295	0.9316128768
296	0.9314777366
297	0.9313655079
298	0.9312029726
299	0.9310765173
300	0.930936845
301	0.9308769673
302	0.93078468303	0.9311282829
304	0.9309433539
305	0.9308764961
306	0.9307262467
307	0.9305480452
308	0.9304305803
309	0.9302467555
310	0.9300204286
311	0.9299024208
312	0.9297815465
313	0.9297084717
314	0.929604686
315	0.9294540821
316	0.9293242074
317	0.929233574
318	0.9290979979
319	0.9289795086
320	0.9288302629
321	0.9285665772
322	0.9284319048
323	0.9282727572
324	0.9281358589
325	0.927990836
326	0.9278718866
327	0.9277568965
328	0.9274900925
329	0.9273877397
330	0.9272249996
331	0.9270506317
332	0.926993978
333	0.9268824068
334	0.9266875072
335	0.9264850059
336	0.9264097914
337	0.9263147127
338	0.9260798617
339	0.926009301
340	0.9259260375
341	0.9258373284
342	0.9257434359
343	0.9256537459
344	0.9255896012
345	0.9254718569
346	0.9253205694
347	0.925231883
348	0.9250520809
349	0.9249449691
350	0.9247766762
351	0.9246627099
352	0.9245796888
353	0.924458579
354	0.9243746627
355	0.924184176
356	0.924054444
357	0.9239726713
358	0.9238927607
359	0.923808924
360	0.9237746059
361	0.9236910698
362	0.9236017502
363	0.9233878481
364	0.9233371515
365	0.9232339476
366	0.9231206691
367	0.9229681335
368	0.9228084446
369	0.9227404418
370	0.9226447449
371	0.9224647112
372	0.9223176529
373	0.9221828561
374	0.9220719889
375	0.9218710931
376	0.921793089
377	0.9216929715
378	0.9215433757
379	0.9214455654
380	0.9212983865
381	0.9211799847
382	0.9210742791
383	0.9209591331
384	0.9208725299
385	0.9207634407
386	0.9205607136
387	0.9204797938
388	0.9203911671
389	0.9203507577
390	0.920262739
391	0.9201611103
392	0.9201032142
393	0.9200201529
394	0.919875961
395	0.9197506058
396	0.9196317299
397	0.9195073002
398	0.9194039581
399	0.9193162758
400	0.9192483779
401	0.9191049238
402	0.9189308329
403	0.9188806724
404	0.9187808208
405	0.9187142389
406	0.9186100715
407	0.9184357896
408	0.918294717
409	0.9181135938
410	0.9179249714
411	0.9177991755
412	0.9176943335
413	0.91761336
414	0.9175364006
415	0.9174544329
416	0.9172834756
417	0.9171435553
