iter	Passed	Remaining
0	224	224162
1	305	152394
2	364	121142
3	456	113612
4	565	112554
5	676	112073
6	735	104397
7	815	101101
8	872	96027
9	927	91827
10	998	89740
11	1058	87127
12	1100	83581
13	1165	82085
14	1214	79783
15	1301	80018
16	1366	79011
17	1457	79499
18	1539	79467
19	1594	78147
20	1648	76874
21	1726	76760
22	1832	77837
23	1899	77254
24	1961	76517
25	2038	76368
26	2103	75797
27	2164	75131
28	2225	74510
29	2321	75056
30	2390	74714
31	2460	74417
32	2551	74760
33	2621	74485
34	2680	73912
35	2748	73587
36	2832	73725
37	2914	73780
38	3010	74177
39	3068	73644
40	3137	73377
41	3189	72760
42	3259	72539
43	3342	72618
44	3412	72427
45	3441	71379
46	3499	70958
47	3547	70355
48	3625	70355
49	3683	69992
50	3735	69509
51	3800	69277
52	3870	69161
53	3952	69248
54	4011	68923
55	4088	68914
56	4220	69828
57	4277	69469
58	4329	69055
59	4398	68909
60	4469	68798
61	4530	68540
62	4593	68324
63	4669	68295
64	4727	68010
65	4773	67557
66	4831	67276
67	4896	67105
68	4955	66859
69	5028	66802
70	5083	66510
71	5154	66435
72	5248	66643
73	5313	66493
74	5359	66104
75	5401	65668
76	5434	65146
77	5475	64717
78	5509	64229
79	5542	63743
80	5588	63400
81	5625	62978
82	5668	62631
83	5711	62279
84	5741	61801
85	5778	61409
86	5812	60992887	5847	6059888	6081	62250
89	6150	62191
90	6235	62282
91	6311	62289
92	6387	62292
93	6462	62284
94	6522	62131
95	6563	61803
96	6614	61576
97	6707	61738
98	6799	61878
99	6841	61576
100	6892	61352
101	6964	61315
102	7037	61284
103	7091	61094
104	7159	61028
105	7211	60821
106	7280	60764
107	7344	60664
108	7409	60570
109	7486	60574
110	7561	60560
111	7639	60566
112	7714	60551
113	7774	60424
114	7855	60456
115	7937	60487
116	7991	60309
117	8043	60125
118	8105	60009
119	8156	59815
120	8234	59816
121	8297	59715
122	8366	59652
123	8408	59398
124	8502	59517
125	8559	59374
126	8611	59193
127	8665	59031
128	8741	59019
129	8805	58930
130	8864	58800
131	8933	58745
132	9020	58801
133	9067	58597
134	9141	58575
135	9200	58449
136	9252	58281
137	9303	58112
138	9361	57985
139	9401	57750
140	9475	57728
141	9544	57672
142	9604	57559
143	9642	57318
144	9717	57301
145	9774	57173
146	9854	57182
147	9917	57095
148	9974	56967
149	10074	57087
150	10157	57108
151	10225	57049
152	10290	56970
153	10326	56729
154	10408	56743
155	10468	56638
156	10531	56550
157	10590	56437
158	10675	56465
159	10735	56360
160	10799	56277
161	10864	56199
162	10925	56100
163	10983	55988
164	11021	55776
165	11078	55661
166	11115	55442
167	11180	55369
168	11274	55440
169	11366	55495
170	11417	55351
171	11486	55293
172	11549	55209
173	11609	55111
174	11679	55060
175	11746	54995
176	11792	54832
177	11851	54728
178	11923	54686
179	11989	54619
180	12041	54486
181	12114	54447
182	12187	54410
183	12271	54420
184	12330	54320
185	12385	54203
186	12463	54187
187	12535	54143
188	12630	54196
189	12706	54170
190	12760	54049
191	12812	53920
192	12874	53830
193	12935	53741
194	13021	53757
195	13090	53697
196	13150	53602
197	13239	53627
198	13310	53576
199	13346	53385
200	13397	53258
201	13474	53230
202	13564	53256
203	13659	53299
204	13770	53402
205	13857	53413
206	13908	53281
207	13986	53255
208	14067	53239
209	14107	53070
210	14178	53016
211	14238	52922
212	14291	52805
213	14330	52636
214	14378	52498
215	14430	52375
216	14510	52359
217	14575	52282
218	14626	52162
219	14698	52113
220	14775	52082
221	14842	52016
222	14909	51948
223	14998	51959
224	15059	51873
225	15116	51769
226	15220	51829
227	15279	51734
228	15348	51675
229	15412	51597
230	15490	51569
231	15539	51440
232	15613	51396
233	15667	51287
234	15740	51241
235	15818	51209
236	15884	51137
237	15982	51170
238	16050	51107
239	16145	51126
240	16220	51085
241	16339	51179
242	16422	51160
243	16531	51220
244	16693	51441
245	16805	51510
246	16899	51520
247	16966	51446
248	17089	51543
249	17208	51624
250	17319	51681
251	17393	51628
252	17441	51495
253	17543	51525
254	17612	51457
255	17684	51395
256	17806	51480
257	17886	51440
258	17982	51446
259	18111	51547
260	18206	51549
261	18291	51524
262	18438	51668
263	18566	51760
264	18676	51800
265	18751	51742
266	18852	51757
267	18910	51651
268	18988	51601
269	19076	51576
270	19127	51452
271	19220	51444
272	19307	51416
273	19417	51450
274	19488	51378
275	19552	51288
276	19609	51181
277	19667	51079
278	19745	51026
279	19818	50960
280	19901	50921
281	19966	50837
282	20044	50784
283	20102	50679
284	20159	50575
285	20216	50471
286	20280	50382
287	20365	50348
288	20481	50389
289	20598	50431
290	20720	50484
291	20818	50477
292	20881	50385
293	20954	50319
294	21000	50187
295	21033	50025
296	21069	49870
297	21100	49707
298	21134	49550
299	21172	49402
300	21206	49246
301	21232	49073
302	21258	48900
303	21286303	229304	21312304	23023	52462
305	23072	52328
306	23172	52308
307	23304	52359
308	23380	52283
309	23482	52267
310	23546	52165
311	23612	52067
312	23696	52011
313	23772	51936
314	23843	51849
315	23923	51782
316	24000	51711
317	24067	51616
318	24155	51567
319	24246	51524
320	24327	51458
321	24413	51404
322	24477	51303
323	24554	51230
324	24619	51133
325	24687	51040
326	24793	51028
327	24855	50924
328	24941	50869
329	25011	50781
330	25082	50694
331	25176	50656
332	25245	50566
333	25319	50487
334	25384	50390
335	25469	50332
336	25533	50234
337	25624	50187
338	25734	50178
339	25827	50136
340	25920	50092
341	25984	49994
342	26054	49906
343	26124	49818
344	26163	49672
345	26251	49619
346	26321	49533
347	26407	49475
348	26491	49414
349	26536	49282
350	26604	49192
351	26682	49119
352	26762	49051
353	26840	48979
354	26908	48889
355	27001	48845
356	27163	48924
357	27266	48896
358	27337	48811
359	27400	48711
360	27480	48643
361	27544	48545
362	27615	48460
363	27719	48432
364	27782	48333
365	27841	48227
366	27927	48168
367	28007	48100
368	28072	48005
369	28138	47910
370	28209	47827
371	28304	47782
372	28422	47777
373	28498	47700
374	28568	47613
375	28631	47516
376	28700	47427
377	28807	47403
378	28913	47375
379	28981	47285
380	29050	47198
381	29143	47149
382	29204	47046
383	29281	46972
384	29361	46902
385	29501	46926
386	29587	46865
387	29634	46742
388	29712	46668
389	29784	46585
390	29851	46495
391	29910	46391
392	29980	46306
393	30047	46214
394	30125	46141
395	30187	46043
396	30255	45955
397	30337	45886
398	30435	45843
399	30491	45736
400	30587	45690
401	30670	45624
402	30736	45532
403	30791	45424
404	30880	45366
405	30959	45295
406	31000	45167
407	31078	45093
408	31150	45012
409	31249	44969
410	31345	44921
411	31446	44880
412	31548	44840
413	31622	44760
414	31680	44658
415	31757	44581
416	31822	44489
417	31884	44393
418	31976	44340
419	32024	44224
420	32089	44132
421	32189	44088
422	32248	43989
423	32327	43916
424	32438	43887
425	32515	43811
426	32562	43696
427	32635	43616
428	32738	43574
429	32822	43509
430	32897	43430
431	32971	43351
432	33027	43248
433	33105	43174
434	33169	43082
435	33244	43004
436	33308	42912
437	33369	42816
438	33435	42727
439	33507	42645
440	33576	42561
441	33634	42462
442	33688	42357
443	33782	42303
444	33847	42214
445	33907	42118
446	33984	42043
447	34050	41954
448	34107	41855
449	34169	41762
450	34218	41653
451	34290	41573
452	34352	41480
453	34420	41395
454	34469	41287
455	34526	41189
456	34596	41106
457	34655	41011
458	34708	40908
459	34763	40809
460	34839	40734
461	34927	40673
462	34991	40584
463	35058	40498
464	35124	40412
465	35201	40337
466	35262	40246
467	35326	40157
468	35398	40078
469	35489	40019
470	35557	39935
471	35633	39861
472	35702	39778
473	35767	39691
474	35824	39595
475	35899	39519
476	35953	39420
477	36023	39339
478	36081	39245
479	36140	39152
480	36206	39066
481	36270	38979
482	36328	38886
483	36390	38796
484	36462	38718
485	36546	38651
486	36598	38552
487	36666	38470
488	36701	38352
489	36736	38235
490	36778	38127
491	36818	38015
492	36852	37898
493	36886	37782
494	36917	37662
495	36951	37547
496	36985	37432
497	37023	37320
498	37057	37205
499	37089	37089
500	37130	36981
501	37164	36868
502	37197	36753
503	37239	36648
504	37274	36536
505	37309	36424
506	37338	36307
507	37369	36192
508	3740510	3560509	3743511	35660	33988
512	35746	33934
513	35802	33852
514	35900	33809
515	35945	33716
516	36029	33660
517	36134	33622
518	36209	33558
519	36275	33484
520	36360	33429
521	36416	33346
522	36482	33274
523	36535	33188
524	36626	33138
525	36701	33073
526	36779	33011
527	36836	32929
528	36917	32869
529	36981	32794
530	37057	32730
531	37167	32696
532	37239	32628
533	37306	32556
534	37404	32510
535	37497	32460
536	37555	32380
537	37616	32302
538	37683	32230
539	37772	32176
540	37837	32102
541	37900	32026
542	37971	31957
543	38033	31880
544	38085	31796
545	38154	31725
546	38232	31662
547	38285	31578
548	38326	31485
549	38380	31401
550	38444	31327
551	38492	31240
552	38565	31173
553	38620	31091
554	38688	31020
555	38734	30931
556	38836	30887
557	38928	30835
558	38991	30760
559	39038	30672
560	39099	30596
561	39173	30530
562	39250	30466
563	39326	30401
564	39382	30320
565	39438	30241
566	39497	30163
567	39564	30091
568	39627	30016
569	39705	29953
570	39760	29872
571	39822	29797
572	39874	29714
573	39943	29644
574	40008	29571
575	40077	29501
576	40140	29426
577	40200	29350
578	40261	29275
579	40319	29197
580	40405	29139
581	40453	29054
582	40505	28972
583	40573	28901
584	40650	28837
585	40710	28761
586	40770	28685
587	40817	28599
588	40893	28535
589	40957	28462
590	41017	28385
591	41079	28311
592	41155	28246
593	41217	28172
594	41268	28090
595	41332	28017
596	41400	27947
597	41431	27852
598	41493	27777
599	41552	27701
600	41626	27635
601	41670	27549
602	41735	27477
603	41790	27399
604	41841	27318
605	41916	27252
606	41987	27184
607	42049	27110
608	42102	27031
609	42179	26967
610	42239	26892
611	42307	26822
612	42364	26745
613	42418	26666
614	42484	26596
615	42527	26510
616	42582	26433
617	42673	26377
618	42745	26310
619	42821	26245
620	42880	26170
621	42941	26096
622	43002	26022
623	43057	25944
624	43140	25884
625	43203	25811
626	43266	25739
627	43310	25655
628	43340	25563
629	43376	25475
630	43417	25390
631	43451	25301
632	43484	25211
633	43515	25121
634	43547	25031
635	43575	24939
636	43603	24848
637	43630	24755
638	43657	24663
639	43681	24570
640	43708	24479
641	43736	24388
642	43767	24300
643	43798	24211
644	43829	24123
645	43859	24034
646	43881	23941
647	43909	23851
648	43936	23762
649	43971	23676
650	44002	23589
651	44028	23499
652	44057	23412
653	44089	23325
654	44120	23239
655	44148	2315656	45070	23530
657	45122	23452
658	45227	23402
659	45306	23339
660	45388	23278
661	45454	23207
662	45515	23135
663	45599	23074
664	45680	23011
665	45736	22936
666	45809	22870
667	45887	22806
668	45953	22736
669	46040	22676
670	46120	22613
671	46193	22546
672	46282	22487
673	46365	22425
674	46432	22356
675	46512	22293
676	46582	22224
677	46679	22169
678	46765	22108
679	46835	22040
680	46919	21978
681	47010	21919
682	47091	21856
683	47169	21791
684	47229	21718
685	47312	21655
686	47372	21582
687	47442	21514
688	47517	21448
689	47595	21383
690	47694	21328
691	47777	21264
692	47848	21197
693	47921	21129
694	47977	21054
695	48037	20981
696	48110	20914
697	48196	20852
698	48266	20784
699	48357	20724
700	48417	20651
701	48493	20585
702	48568	20519
703	48641	20451
704	48730	20390
705	48797	20320
706	48852	20245
707	48933	20181
708	49009	20115
709	49088	20050
710	49146	19976
711	49196	19899
712	49252	19825
713	49315	19753
714	49371	19679
715	49449	19614
716	49536	19552
717	49589	19476
718	49651	19404
719	49716	19334
720	49791	19267
721	49877	19205
722	49962	19141
723	50028	19071
724	50109	19007
725	50181	18938
726	50263	18874
727	50340	18808
728	50388	18731
729	50449	18659
730	50519	18590
731	50574	18516
732	50631	18442
733	50691	18370
734	50736	18292
735	50810	18225
736	50878	18156
737	50935	18082
738	51004	18013
739	51062	17940
740	51118	17867
741	51194	17800
742	51266	17732
743	51343	17666
744	51421	17600
745	51484	17529
746	51557	17462
747	51634	17395
748	51698	17324
749	51767	17255
750	51853	17192
751	51931	17126
752	52007	17059
753	52084	16993
754	52153	16924
755	52224	16855
756	52299	16788
757	52351	16713
758	52414	16642
759	52477	16571
760	52553	16504
761	52623	16436
762	52689	16366
763	52749	16294
764	52810	16222
765	52874	16152
766	52956	16087
767	53021	16016
768	53078	15944
769	53153	15877
770	53221	15807
771	53304	15742
772	53395	15680
773	53476	15614
774	53546	15545
775	53625	15479
776	53682	15406
777	53754	15338
778	53841	15274
779	53922	15208
780	54002	15142
781	54072	15073
782	54167	15012
783	54264	14950
784	54319	14877
785	54392	14809
786	54464	14740
787	54549	14675
788	54618	14606
789	54683	14536
790	54773	14472
791	54833	14400
792	54889	14328
793	54955	14258
794	55067	14199
795	55144	14132
796	55201	14060
797	55290	13995
798	55359	13926
799	55427	13856
800	55488	13785
801	55559	13716
802	55607	13642
803	55687	13575
804	55784	13512
805	55834	13438
806	55922	13374
807	55988	13304
808	56074	13238
809	56125	13165
810	56180	13092
811	56249	13023
812	56335	12957
813	56392	12885
814	56523	12830
815	56646	12773
816	56692	12698
817	56733	12622
818	56784	12549
819	56823	12473
820	56888	12403
821	56955	12333
822	57010	12261
823	57059	12187
824	57122	12116
825	57174	12043
826	57226	11971
827	57287	11900
828	57346	11828
829	57396	11755
830	57443	11682
831	57503	11611
832	57545	11536
833	57622	11469
834	57687	11399
835	57736	11326
836	57786	11253
837	57831	11179
838	57871	11105
839	57928	11034
840	57975	10960
841	58019	10887
842	58060	10813
843	58119	10742
844	58184	10672
845	58238	10601
846	58278	10527
847	58330	10455
848	58361	10380
849	58411	10307
850	58464	10236
851	58523	10166
852	58576	10094
853	58629	10023
854	58692	9953
855	58747	9882
856	58789	9809
857	58843	9738
858	58889	9666
859	58937	9594
860	58996	9524
861	59052	9453
862	59106	9383
863	59158	9311
864	59193	9238
865	59420	9194
866	59744	9164
867	59868	9104
868	59935	9035
869	59959	8959
870	59983	8883
871	60006	8808
872	60029	8732
873	60054	8657
874	60077	8582
875	60108	8508
876	60134	8433
877	60168	8360
878	60195	8286
879	60220	8211
880	60252	8138
881	60277	8064
882	60304	7990
883	60326	7916
884	60356	7842
885	60380	7769
886	60405	7695
887	60431	7622
888	60455	7548
889	60474	7474
890	60495	7400
891	60523	7328
892	60551	7255
893	60579	7182
894	60613	7111
895	60642	7038
896	60669	6966
897	60697	6894
898	60727	6822
899	60818	6757
900	60868	6688
901	60924	6619
902	61001	6552
903	61063	6484
904	61108	6414
905	61159	6345
906	61215	6276
907	61279	6208
908	61327	6139
909	61408	6073
910	61432	6001
911	61453	5929
912	61482	5858
913	61508	5787
914	61531	5716
915	61568	5646
916	61595	5575
917	61620	5504
918	61656	5434
919	61682	5363
920	61711	5293
921	61736	5222
922	61765	5152
923	61792	5082
924	61819	5012
925	61845	4942
926	61883	4873
927	61908	4803
928	61936	4733
929	61966	4664
930	61992	4594
931	62025	4525
932	62058	4456
933	62097	4388
934	62135	4319
935	62174	4251
936	62214	4183
937	62249	4114
938	62279	4045
939	62323	3978
940	62360	3909
941	62404	3842
942	62433	3773
943	62470	3705
944	62589	3642
945	62653	3576
946	62671	3507
947	62693	3438
948	62710	3370
949	62727	3301
950	62784	3234
951	62917	3172
952	62994	3106
953	63028	3039
954	63062	2971
955	63090	2903
956	63119	2836
957	63133	2767
958	63147	2699
959	63161	2631
960	63177	2563
961	63192	2496
962	63209	2428
963	63225	2361
964	63244	2293
965	63263	2226
966	63294	2159
967	63312	2092
968	63331	2026
969	63368	1959
970	63386	1893
971	63402	1826
972	63417	1759
973	63441	1693
974	63459	1627
975	63476	1560
976	63490	1494
977	63505	1428
978	63522	1362
979	63539	1296
980	63554	1230
981	63569	1165
982	63587	1099
983	63604	1034
984	63623	968
985	63638	903
986	63653	838
987	63666	773
988	63680	708
989	63696	643
990	63713	578
991	63725	513
992	63739	449
993	63751	384
994	63764	320
995	63777	256
996	63790	191
997	63802	127
998	63816	63
999	63832	0
61440	0
99	63776	0
