iter	Passed	Remaining
0	155	155402
1	170	85113
2	182	60685
3	198	49488
4	250	49868
5	269	44710
6	297	42228
7	313	38827
8	331	36549
9	354	35128
10	380	34233
11	400	32951
12	421	32015
13	451	31820
14	466	30616
15	473	29136
16	501	29000
17	527	28795
18	546	28218
19	564	27680
20	581	27121
21	587	26096
22	594	25253
23	600	24410
24	606	23634
25	612	22940
26	617	22268
27	624	21671
28	630	21108
29	635	20546
30	642	20083
31	647	19587
32	653	19154
33	661	18794
34	667	18394
35	673	18023
36	679	17694
37	684	17326
38	690	17015
39	696	16707
40	701	16398
41	708	16154
42	713	15872
43	717	15594
44	724	15370
45	742	15391
46	768	15580
47	777	15422
48	782	15193
49	790	15025
50	799	14879
51	832	15168
52	856	15307
53	879	15415
54	912	15678
55	929	15667
56	945	15638
57	963	15647
58	978	15613
59	1015	15911
60	1026	15800
61	1039	15729
62	1063	15823
63	1109	16229
64	1117	16076
65	1127	15954
66	1155	16096
67	1177	16136
68	1220	16470
69	1241	16494
70	1258	16463
71	1278	16480
72	1300	16515
73	1316	16467
74	1333	16445
75	1342	16315
76	1358	16287
77	1376	16272
78	1403	16356
79	1407	16188
80	1435	16284
81	1470	16463
82	1487	16432
83	1519	16573
84	1541	16598
85	1572	16717
86	1593	16721
87	1615	16745
88	1625	16635
89	1651	16694
90	1681	16797
91	1693	16709
92	1707	16649
93	1733	16705
94	1758	16752
95	1768	16653
96	1785	16617
97	1800	16569
98	1822	16582
99	1839	16559
100	1860	16562
101	1865	16423
102	1869	16283
103	1875	16154
104	1881	16038
105	1886	15911
106	1892	15792
107	1897	15672
108	1902	15549
109	1907	15436
110	1913	15323
111	1917	15203
112	1923	15095
113	1931	15014
114	1953	15033
115	1978	15075
116	1987	14998
117	1999	14942
118	2021	14962
119	2048	15024
120	2062	14985
121	2096	15088
122	2117	15100
123	2132	15064
124	2150	15055
125	2179	15120
126	2212	15210
127	2233	15218
128	2251	15200
129	2277	15243
130	2300	15259
131	2317	15241
132	2328	15181
133	2335	15092
134	2343	15013
135	2348	14917
136	2353	14826
137	2360	14744
138	2366	14657
139	2374	14584
140	2379	14498
141	2385	14412
142	2392	14338
143	2398	14256
144	2405	14186
145	2412	14111
146	2418	14031
147	2427	13974
148	2432	13893
149	2440	13828
150	2445	13751
151	2452	13680
152	2459	13617
153	2464	13540
154	2471	13476
155	2476	13399
156	2482	13328
157	2489	13267
158	2494	13193
159	2500	13126
160	2506	13060
161	2529	13084
162	2546	13077
163	2576	13132
164	2596	13141
165	2612	13125
166	2627	13106
167	2641	13081
168	2661	13087
169	2678	13076
170	2707	13126
171	2732	13152
172	2761	13199
173	2778	13189
174	2792	13162
175	2812	13167
176	2842	13217
177	2859	13203
178	2866	13146
179	2873	13089
180	2879	13029
181	2886	12973
182	2892	12913
183	2899	12856
184	2905	12801
185	2911	12742
186	2918	12688
187	2940	12702
188	2962	12712
189	2979	12701
190	2995	12688
191	3014	12685
192	3036	12694
193	3062	12724
194	3074	12693
195	3088	12667
196	3111	12684
197	3127	12666
198	3157	12708
199	3186	12745
200	3193	12695
201	3219	12719
202	3226	12667
203	3263	12735
204	3289	12758
205	3312	12767
206	3338	12788
207	3359	12791
208	3385	12811
209	3411	12834
210	3437	12853
211	3467	12889
212	3488	12890
213	3503	12868
214	3521	12857
215	3536	12837
216	3558	12839
217	3584	12857
218	3598	12834
219	3619	12832
220	3641	12835
221	3670	12864
222	3706	12912
223	3723	12900
224	3749	12913
225	3760	12879
226	3789	12904
227	3803	12879
228	3836	12916
229	3857	12913
230	3883	12928
231	3904	12924
232	3932	12945
233	3948	12924
234	3965	12908
235	3986	12904
236	4000	12877
237	4014	12851
238	4032	12840
239	4041	12799
240	4055	12773
241	4075	12766
