iter	Passed	Remaining
0	171	170995
1	182	91107
2	194	64521
3	203	50706
4	206	40999
5	217	36031
6	224	31827
7	234	29019
8	241	26635
9	250	24841
10	253	22792
11	264	21754
12	268	20422
13	282	19906
14	287	18874
15	290	17890
16	293	16959
17	299	16313
18	309	15992
19	315	15459
20	319	14874
21	331	14724
22	340	14444
23	350	14263
24	356	13922
25	365	13693
26	371	13371
27	373	12971
28	377	12656
29	383	12413
30	392	12253
31	398	12066
32	404	11867
33	418	11903
34	426	11765
35	436	11692
36	446	11621
37	453	11488
38	469	11562
39	475	11422
40	481	11254
41	488	11144
42	495	11016
43	502	10917
44	509	10813
45	512	10628
46	519	10530
47	523	10381
48	529	10279
49	534	10155
50	537	10001
51	544	9919
52	547	9787
53	558	9786
54	562	9661
55	566	9550
56	573	9492
57	580	9434
58	586	9358
59	593	9295
60	600	9248
61	607	9193
62	617	9184
63	622	9101
64	628	9035
65	634	8984
66	642	8951
67	651	8928
68	654	8837
69	660	8776
70	666	8717
71	676	8719
72	680	8646
73	690	8636
74	696	8591
75	704	8562
76	708	8493
77	712	8426
78	719	8391
79	723	8322
80	726	8248181	735	8238282	740	8188383	747	81484	784	8445
85	792	8417
86	798	8374
8787	775	8038888	778	79689	815	8249
90	820	8193
91	830	8192
92	836	8158
93	840	8102
94	847	8075
95	859	8090
96	865	8054
97	873	8037
98	880	8017
99	895	8056
100	902	8029
101	908	8000
102	914	7962
103	919	7924
10104	899	76610105	909	7669
106	918	7669
107	924	7635
108	932	7620
109	940	7608
110	951	7623
111	965	7654
112	971	7626
113	983	7645
114	990	7624
115	1003	7648
116	1010	7623
117	1020	7624
118	1032	7643
119	1041	7634
120	1052	7643
121	1058	7615
122	1069	7622
123	1072	7575
124	1083	7582
125	1090	7565
126	1099	7557
127	1102	7508
128	1108	7485
129	1116	7470
130	1122	7443
131	1124	73913132	1128	73513133	1142	7385
134	1146	7344
135	1149	7299
136	1153	72613137	1159	724138	1191	7379
139	1195	7341
140	1199	7310
14141	1181	71314142	1192	714143	1227	7297
144	1232	7267
145	1238	7243
146	1241	7202
14147	1225	7053
148	1232	7040
149	1236	7007
150	1244	6999
151	1250	6974
152	1266	7011
153	1278	7021
154	1284	7003
155	1300	7033
156	1303	6997
157	1312	6996
158	1318	6974
159	1330	6985
160	1334	6956
161	1347	6968
162	1359	6983
163	1362	6946
164	1372	6947
165	1388	6977
166	1398	6973
167	1420	7034
168	1431	7037
169	1462	7138
170	1477	7164
171	1488	7165
172	1495	7147
173	1503	7136
174	1506	7100
175	1510	7070
176	1524	7087
177	1531	7074
178	1541	7071
179	1552	7074
180	1560	7059
181	1563	7025
182	1585	7080
183	1596	7078
184	1599	7046
185	1605	7027
186	1608	6993
187	1614	6974
188	1627	6985
189	1646	7017
190	1662	7042
191	1668	7023
192	1676	7009
193	1687	7010
194	1692	6988
195	1697	6962
196	1706	6955
197	1718	6961
198	1722	6932
199	1733	6933
200	1740	6917
201	1749	6911
202	1757	6899
203	1761	6872
204	1765	6848
205	1773	6835
206	1780	6819
207	1786	6803
208	1794	6791
209	1800	6773
210	1804	6748
211	1815	6748
212	1818	6718
213	1820	6685
214	1823	6658
215	1828	6636
216	1834	6620
217	1839	6597
218	1845	6580
219	1850	6559
